t,S2_S4_S4_Obs,ppS3_S4_S4_Obs
0,-0.0227953838464904,0.133670918319758
65,0.0489117622422332,NaN
70,NaN,-0.0124077408240903
150,0.0801471252565822,5.09903087201385e-05
200,-0.00936411911956549,-0.00804450280457546
250,0.0222071161571423,NaN
300,NaN,0.0240095118904392
350,-0.0976776393093434,NaN
400,NaN,-0.0246970955352339
450,0.201704988972573,NaN
500,NaN,-0.0127660278024972
550,0.0282354472851117,NaN
600,NaN,-0.186083918702135
650,0.00695942949020039,NaN
700,NaN,-0.154685205386082
800,0.0695859745762413,NaN
850,NaN,0.141449531729531
950,-0.0854685709941631,NaN
1000,-0.0752740505458067,-0.042004181878243
1500,0.0502349798494109,-0.00433141432202433
