t,ppS2_ppS3_ppS3_Obs,geneL_Obs
0,-0.144092268408506,0.983435852772704
50,17.6777769094831,NaN
75,NaN,0.344854249150549
100,16.9137180555574,NaN
150,14.866824778348,0.280451459660786
200,11.2878260429615,NaN
250,9.31681855244114,0.289223309925997
300,NaN,0.3191916488609
350,8.28287203277955,NaN
400,6.52380627683522,0.319119267528188
500,3.64536088347006,0.348511294676025
600,3.88781690825749,NaN
650,NaN,0.490836111422417
700,3.32244997537729,NaN
800,NaN,0.574562932466256
850,1.12872924007403,NaN
1000,0.863593654632388,0.59367804897979
1500,NaN,0.838658144503792
