t,ppS2_ppS3_ppS3_Obs,geneL_Obs
0,-0.00916876915230315,1.0606317703625
55,NaN,0.519367242404041
65,0.569310846486559,NaN
100,NaN,0.46673889681993
150,0.431227096188145,0.411954995109581
200,0.339807423878592,NaN
250,0.290601837629861,0.440904537172557
300,NaN,0.346913237675325
350,0.152092814060394,NaN
400,NaN,0.555680576695364
450,0.114565906591844,NaN
500,NaN,0.586556792099324
600,0.0478459849333986,0.615686766895387
700,0.0381390130194912,0.645331515130779
850,NaN,0.715442967685865
900,0.0181130174948675,NaN
1000,-0.0089718670814352,0.783319242669303
