t,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,pApoER2_re_Dab1_Obs
0,0.000126376027667852,-1.12359170249794e-05,0.1683847962439,0.000310982901870461
15,NaN,NaN,0.886947684172579,NaN
20,NaN,0.000997391249427861,NaN,0.00606025962529097
30,3.19127958558548e-07,NaN,0.836927246173254,NaN
40,NaN,NaN,NaN,0.00327678552154277
45,NaN,0.000981256676040559,0.704667107067224,NaN
65,3.57389439423078e-06,0.000801897919109886,0.506743509375964,0.00190744572758108
80,NaN,NaN,0.506363074350142,NaN
90,NaN,0.000660852997006137,NaN,0.000872898963874877
100,-9.30805605153099e-07,0.000497063884054007,0.479032600809771,0.000768583759549389
150,-6.86503294154728e-07,0.000366498162628458,0.267736648967804,0.000489762393790837
200,-2.32328457655347e-06,0.00035036356195376,0.296692386302523,0.000234830319932306
250,NaN,0.000208006113472237,0.166703037147038,0.000350154684998553
300,NaN,0.000152376577171849,0.137515445576177,NaN
350,NaN,0.000130452657367002,NaN,5.72492484821738e-05
