t,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,ApoER2_Dab1_Obs
0,0.000128592782397351,1.66625383221555e-05,0.119527357931209,1.15132335630635
20,NaN,NaN,0.429730088765741,NaN
25,NaN,0.00046482190558218,NaN,0.624658294922338
30,5.93720791630847e-05,NaN,NaN,NaN
40,NaN,NaN,0.399294957254087,NaN
45,NaN,0.00043293689198435,NaN,NaN
50,NaN,NaN,NaN,0.430598919135453
60,NaN,NaN,0.34001471822221,NaN
65,4.74189189447627e-05,NaN,NaN,NaN
70,NaN,0.000332610031681771,NaN,NaN
75,NaN,NaN,NaN,0.496497524865979
85,NaN,NaN,0.261132501919472,NaN
95,NaN,0.00022855816685047,NaN,NaN
100,5.27713037123748e-05,0.000282874302553859,0.256192042738265,0.582993273461382
150,6.96157149881824e-05,0.000154677750938006,0.227429298522699,0.574982491226176
200,6.9497961359208e-05,0.000101633039858205,0.11834941470237,0.637415398256368
250,7.31743714676636e-05,9.81301798436626e-05,0.129840678197782,0.659746752982731
300,6.73383197071323e-05,4.94158326160244e-05,0.0660361799239772,0.657202430282116
350,8.92707560347319e-05,NaN,0.0671330194776078,0.571255494769213
400,NaN,4.87566301710769e-05,NaN,0.57657959488001
450,8.53276925182961e-05,NaN,NaN,NaN
500,NaN,NaN,NaN,0.629537972755345
550,8.73783176140771e-05,NaN,NaN,NaN
600,NaN,NaN,NaN,0.615558614382446
