t,Reelin_input,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_Dab1_Obs
28,0,0.000124467005216322,-5.31859576772355e-05,-0.000160574079392913,0.935401247483814
28,0.00012207,0.00011625761049218,3.1955240402683e-05,-7.86497545722216e-05,0.973253391305086
28,0.00024414,0.000140109535013573,4.13978160683556e-05,-2.97226540044083e-05,1.02315277398567
28,0.00048828,0.000124427387595875,-1.38255607853502e-05,-1.34373497892263e-05,0.938873183353937
28,0.00097656,0.000118321207421112,-5.22169908107904e-05,4.30891484404439e-05,1.09225501327997
28,0.0019531,0.00010145572065501,5.50600483367901e-05,6.25288108345291e-05,1.0558140287045
28,0.0039062,0.00010176059408353,0.000166180090658315,-1.89329023793733e-05,0.701306009300706
28,0.0078125,5.01652877764529e-05,0.000431705984705148,0.000617557109369019,0.595909118323971
28,0.015625,2.53797410482354e-05,0.000513514322977729,0.000809128559900263,0.48948722883385
28,0.03125,9.31053960987059e-06,0.000688945205302904,0.00111127351293949,0.339338887348748
28,0.125,7.54082774248849e-08,0.000856621052159899,0.00237196205321266,0.18363324782092
28,0.25,-7.77070166000186e-07,0.000932127083482184,0.00322242158464773,0.0538574239900017
28,0.5,-2.57919922261459e-06,0.000960628604070692,0.00366648689623222,0.0320845417763114
28,1,-1.33013590206302e-05,0.000983698131056935,0.00481767743492397,0.0395944144302844
