t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs,ApoER2_Dab1_Obs
0,2.83084870701322e-10,0.00117546553043362,1.82731649520243e-07,0.581487229229943
5.5,NaN,NaN,2.02204745499392e-07,NaN
8,2.19745017096617e-10,NaN,NaN,NaN
10,NaN,0.00110454022767233,1.8854994430949e-07,NaN
15,2.45666458759777e-10,NaN,2.07358846766997e-07,NaN
25,2.42670636483949e-10,0.00137057890584477,1.83214456436544e-07,1.13952794777473
35,2.47337627946025e-10,0.00116483846169629,1.93499069125187e-07,NaN
40,NaN,NaN,1.89568171740321e-07,NaN
45,2.0366338214158e-10,NaN,NaN,NaN
50,NaN,0.00118550901981852,NaN,1.28661401266844
55,NaN,NaN,2.0202828051088e-07,NaN
60,2.43141121900884e-10,NaN,NaN,NaN
70,NaN,0.00131168970254435,NaN,NaN
75,2.56759886201962e-10,NaN,NaN,1.52836576476908
85,NaN,0.0014623210310412,NaN,NaN
90,2.83474844780191e-10,NaN,NaN,NaN
100,2.08964569439e-10,0.00129926789584985,NaN,1.34753636452901
150,NaN,0.00136405847434026,NaN,1.35807949682026
200,NaN,NaN,NaN,1.36922016366506
250,NaN,NaN,NaN,1.38017917668639
300,NaN,NaN,NaN,1.55051868077451
350,NaN,NaN,NaN,1.45669100841935
450,NaN,NaN,NaN,1.46508923407555
550,NaN,NaN,NaN,1.88539030485005
