t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs
0,2.32955472049587e-10,0.00129162268955288,6.32900385064972e-12,0.000146574512246903
20,3.29598430179176e-12,NaN,NaN,NaN
25,NaN,NaN,2.3601840828476e-10,NaN
35,NaN,0.000860308641786425,NaN,0.000376869918327202
40,1.10566507195348e-12,NaN,NaN,NaN
50,NaN,NaN,2.57931518207965e-10,NaN
65,-3.06795685880599e-12,NaN,NaN,NaN
70,NaN,NaN,NaN,0.000569242418100956
75,NaN,0.000556744139531062,NaN,NaN
80,NaN,NaN,2.24860194093561e-10,NaN
90,8.95245048217649e-13,NaN,NaN,NaN
100,-7.70991036313354e-13,0.000505803873229701,2.15728171958326e-10,0.000732773246584352
150,-3.68120418269797e-12,0.000379498458381109,2.35635888362345e-10,0.00093402199490369
200,-4.74951893062567e-12,0.000167642055420061,1.93521405290799e-10,0.00118968646347337
250,1.41168889968761e-12,NaN,2.40480281316365e-10,0.00130907031914801
300,NaN,0.00011503768870679,2.10254768228609e-10,0.00123537283337493
350,-5.46924445185517e-12,0.00010989867017538,2.31438868279859e-10,NaN
400,NaN,NaN,NaN,0.00117671371488819
450,NaN,-3.88780712665054e-05,NaN,0.00122487036682576
600,NaN,-3.33279375100133e-05,NaN,0.00133337600351182
