t,npSTAT_npSTAT_Obs,nSTAT3_Obs,nSTAT5_Obs
0,-0.00136290041155898,0.00399825090186611,-0.00203012227448276
5,NaN,0.0300970976556566,NaN
6.5,NaN,NaN,0.0296370868308457
10,0.0751958192119576,0.158139210918273,NaN
15,NaN,0.144558221794293,0.150664071927017
20,0.0777784922399571,0.154805253841628,0.146920960943965
25,NaN,0.149171473894955,0.147380443295552
30,0.0650391213157476,NaN,NaN
35,NaN,0.124743841057301,0.131298320882577
40,0.0458332536932699,0.0952945437960449,NaN
45,NaN,NaN,0.0874446120102848
50,NaN,0.0497486290420326,NaN
55,0.0172182177323573,NaN,0.0430123207340745
60,NaN,0.0295081260554607,NaN
65,NaN,NaN,0.015898423850952
70,0.000620906455379311,0.00734222904112839,NaN
80,NaN,NaN,0.000971978532519604
85,0.000985673670245683,0.00802211528023804,NaN
95,NaN,NaN,-0.00219373289228092
100,0.00500235678044072,NaN,0.00620577591855275
150,-0.00213205452402757,NaN,NaN
