t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs
0,849.817132086461,190.420870590775,0.241551810441524
25,NaN,NaN,42.9418712684283
30,616.810552502331,54.4222318643974,NaN
45,NaN,NaN,33.3786035565914
60,NaN,74.679409640872,NaN
65,507.71838692527,NaN,NaN
70,NaN,NaN,28.7041582204323
95,438.938314911831,74.4408449690641,NaN
100,NaN,NaN,26.1834190662505
150,280.356949124818,71.8289825364777,23.4230955779088
200,177.209201988789,108.730984603755,18.6287047488035
250,NaN,119.827988664166,11.9884366501791
300,76.8286224554975,NaN,8.04127899142498
350,13.8756970646147,148.658031781789,5.0208561480591
400,20.5754192475878,171.394267547708,1.91995372428836
450,NaN,NaN,1.95046637158615
500,23.0282660687204,178.186918940788,NaN
600,NaN,192.400941791602,NaN
650,-12.7874394235197,NaN,NaN
750,NaN,195.457183263114,NaN
