t,EpoR_Obs,Epo_EpoR_i_Obs
0,644.788603668144,3.51437082624307
15,306.880950697556,NaN
30,340.580062456098,260.76174513383
45,382.695827726144,NaN
60,399.806597948692,NaN
65,NaN,339.751907854858
80,475.272643186339,NaN
100,558.381237494013,285.555424927925
150,470.463699792148,187.095704987324
200,584.989667391383,99.1677504491699
250,617.860672856615,43.6270664506898
300,663.834294506212,21.3890343778442
400,NaN,13.9835040802068
450,NaN,5.97131442589722
550,NaN,-9.53451634555698
650,NaN,6.2127340049398
