t,pRAF_Obs,MEK_Obs
0,-9.11560761672103e-07,0.937467977665651
0.3,NaN,1.18535561089512
0.45,0.000110387332850573,NaN
0.6,NaN,0.86322553912513
0.9,NaN,0.872232008082666
0.95,7.82869047959618e-05,NaN
1,NaN,0.830163973386844
1.5,5.19647077531008e-05,0.820240152448984
2,3.86749600765627e-05,0.882034770810677
2.5,2.75862194149703e-05,0.898458018629126
3,NaN,0.972149293139827
3.5,1.55247783353528e-05,0.886869987436917
4,1.41680239689539e-05,NaN
4.5,NaN,0.96554268961764
5,7.15054884839141e-06,NaN
5.5,NaN,1.00308549725823
6,1.30229945857631e-05,NaN
7.5,1.14846431164216e-05,NaN
