t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,-2.40502572124202e-05,26887872.5418955,-29299.8525696818
150,NaN,19915390.9809433,NaN
200,NaN,NaN,243782.382937536
250,NaN,14115016.0718484,NaN
350,NaN,NaN,159959.840163517
400,NaN,8643997.53094606,NaN
500,0.000357118763524649,NaN,NaN
550,NaN,5316958.08698575,98206.3346347677
700,NaN,6052436.37951536,NaN
750,NaN,NaN,50684.3819616923
850,NaN,1351263.82874101,NaN
1000,0.00061787179959703,2019654.7079919,35915.5601755606
1500,0.000570216533059848,-393902.020665302,9707.32817503878
2000,NaN,528587.045551767,-6938.56914513255
2500,0.000368739082564706,1317629.62904661,17065.164976211
3000,0.000376683202370834,NaN,33506.446116947
3500,NaN,NaN,6171.40113606951
4000,0.000322642231331282,NaN,NaN
4500,0.000228811866905442,NaN,NaN
6000,0.000231458100307124,NaN,NaN
7000,6.12768785488428e-05,NaN,NaN
8500,-1.85047096247949e-05,NaN,NaN
