t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000138815679607384,26251092.2230413,71754.1329156895
40,NaN,11729539.770369,11687796.7983027
80,NaN,NaN,11702079.0344324
85,NaN,9304305.21037291,NaN
150,NaN,2660879.65144961,4419969.53623323
200,NaN,2484110.75128324,NaN
250,NaN,333727.390448699,934677.825620706
300,NaN,NaN,609464.770781518
350,NaN,680822.365294384,131878.183059102
450,NaN,-128305.230206284,386399.264263836
500,0.00235300008483835,NaN,NaN
550,NaN,NaN,-299370.031692293
650,NaN,NaN,-132088.19407934
1000,0.00205053684436722,NaN,NaN
1500,0.00203982086525916,NaN,NaN
2000,0.00163487616235599,NaN,NaN
3000,0.00112882734994915,NaN,NaN
3500,0.000959164772332907,NaN,NaN
4500,0.000768415679070837,NaN,NaN
6000,0.000223312444648495,NaN,NaN
7000,0.000315008163342827,NaN,NaN
8500,0.000342325711047471,NaN,NaN
