t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.000413507924007559,28020314.8849352,-250268.732218906
70,NaN,16187625.4382775,5133026.76254809
150,NaN,8855507.5954822,4302069.18715845
200,NaN,7013281.34712887,2981452.79238475
300,NaN,4956187.15008046,1596392.36953115
400,NaN,272872.412139375,894088.752009016
450,0.00232512008002019,NaN,1053785.8556243
550,NaN,-1366122.47982321,290135.341806302
700,NaN,709140.803463657,414056.617731171
800,NaN,NaN,-76460.1638272478
950,0.00251113509193271,NaN,469877.582490146
1000,NaN,NaN,-119721.063352525
1500,0.00224471455557992,NaN,149101.414093629
2000,0.00188334552027037,NaN,NaN
2500,0.00160499724453158,NaN,NaN
3000,0.00119845912193645,NaN,NaN
4000,0.00121215347146673,NaN,NaN
5000,0.000175120121950879,NaN,NaN
6000,0.000321186283204299,NaN,NaN
7000,0.000416415112757559,NaN,NaN
8500,0.000106534092971108,NaN,NaN
