t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.000208546957803888,26752595.5408927,-102892.966981599
100,NaN,18388265.1878743,NaN
150,NaN,NaN,2213383.29120914
200,NaN,12899746.6518219,NaN
250,NaN,NaN,1500328.8415432
350,NaN,7190725.10502969,NaN
400,NaN,NaN,780129.290852336
450,NaN,3928867.72411111,NaN
500,0.00230751935892961,NaN,NaN
600,NaN,1165359.36095599,307626.562592812
750,NaN,58508.6162193622,333262.478609576
900,NaN,-414566.811256909,NaN
950,0.0024022146011737,NaN,138487.807577017
1000,NaN,73886.2492504038,-741.356385204519
1500,0.00192823930929756,-29506.1846530858,-165192.384063598
2000,0.00197941610915799,-130894.532850211,45097.0519326151
2500,0.00155237305035441,NaN,NaN
3500,0.000961445872505615,NaN,NaN
4000,0.000996316138072232,NaN,NaN
5000,0.000652538900564353,NaN,NaN
6000,0.000346793649096963,NaN,NaN
7500,0.0004490513245444,NaN,NaN
8500,0.000172677423757862,NaN,NaN
