t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00030572485594819,27423852.8306527,155551.354243006
40,NaN,6422291.20004152,NaN
50,NaN,NaN,16484886.6639045
85,NaN,2642595.24762861,NaN
100,NaN,NaN,8350339.13713511
150,NaN,606402.962588406,2936450.51788662
200,NaN,2462757.91696197,1144669.03808895
250,NaN,51602.727578372,187710.486479976
300,NaN,-1831328.60978164,NaN
350,NaN,NaN,85240.3126030224
400,NaN,715252.046234512,-27120.7628941878
500,0.0021618605033837,-944182.74981889,940923.82025814
600,NaN,NaN,818331.243043638
750,NaN,NaN,84555.4643001271
900,NaN,NaN,-20698.5025871914
1000,0.00191973652506322,NaN,NaN
1500,0.00185190461824585,NaN,NaN
2500,0.00105417472159153,NaN,NaN
3000,0.00122898632368051,NaN,NaN
4000,0.000834705688896758,NaN,NaN
4500,0.000434851271172089,NaN,NaN
6000,0.000360747582130568,NaN,NaN
7000,0.000300861359920456,NaN,NaN
8500,0.000529818711521382,NaN,NaN
