t,pAkt_S6_Obs,Compound_1_Obs,Compound_2_Obs
0,-7.54039439245353e-05,29502188.7603667,-29384.1760990995
100,NaN,22405205.2309938,NaN
150,NaN,NaN,696496.06037992
250,NaN,13942907.1451243,NaN
350,NaN,8724417.64603346,432641.935591005
500,0.00104680537509004,6987144.18278375,283544.23405495
650,NaN,5449572.86947968,NaN
700,NaN,NaN,165489.865234531
800,NaN,2209254.6797607,NaN
900,NaN,NaN,76645.3729456807
950,NaN,932291.446420965,NaN
1000,0.00166629412153251,1038400.01770283,57730.1128753402
1500,0.00148943207298399,2271739.59764283,31386.4697118313
2000,0.00109656136186963,2039870.11281672,375.477075548708
2500,NaN,NaN,12221.5232530547
3000,0.000696906551181497,NaN,41590.5963254537
3500,0.000666569966923213,NaN,NaN
4500,0.000360107815959821,NaN,NaN
5500,0.000477483062151142,NaN,NaN
7000,2.64623571107413e-05,NaN,NaN
8500,0.000163343919038244,NaN,NaN
