t,AC_Fsk_Obs,Compound_1_Obs
0,0.162532755342112,1.9683540426624
15,0.220317280168954,2.62972520766579
25,-0.190613763829166,1.46207280364933
40,0.144632001748316,1.60977726482655
55,0.0650119777976269,NaN
60,NaN,1.55176110358192
70,-0.0254948498387021,NaN
80,NaN,1.30493409447869
90,0.258936862719937,NaN
100,0.0854761088198199,1.89735361732906
150,-0.269771102433028,NaN
200,0.00574315569708136,NaN
250,-0.0580377928369503,NaN
300,-0.0982239527879669,NaN
350,0.324829631651697,NaN
450,-0.0475128189801999,NaN
