t,pMEK_Obs,ERK_Obs
0,0.00110315629159164,0.964083490922287
0.3,0.00721417013814605,0.72432214208079
0.55,NaN,0.74614475746627
0.6,0.00628087608296784,NaN
0.85,NaN,0.861572551579511
0.9,0.00440740052956207,NaN
1,0.00498039990775956,0.967652787588725
1.5,0.00256625368413575,0.828283573130346
2,0.00162707573120811,0.786766611654081
2.5,0.000775175594372789,1.09915852084777
3,0.000309441035191645,0.94517640952598
3.5,NaN,1.2639049946711
4,0.000574161547853641,1.07373142483914
4.5,NaN,1.03167406835822
5,0.000618278530074624,NaN
5.5,NaN,1.00237743372396
