t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,8532.68027158451,-6.18301740668775e-07,3.27714090522308e-05,234.618624288248,1.76701551183509e-05,1.04881973348832e-08,18431.2448770603
75,NaN,NaN,NaN,226.890920289801,NaN,NaN,NaN
80,1082445.13923015,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,1636409.99832906
150,875150.338755615,0.000163471563278639,NaN,227.549560667828,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,NaN,901349.841772716
250,557752.323965176,0.000103335773906186,NaN,239.030358748127,NaN,NaN,NaN
300,NaN,NaN,0.00227219664494327,243.896217437592,NaN,NaN,494623.474249451
350,292712.6301042,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,3.84407191566754e-05,NaN,207.448658434058,NaN,1.86394741029398e-07,360959.62993082
450,164132.288610076,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,159102.395010663
550,148982.603238619,NaN,NaN,169.261043778425,NaN,NaN,NaN
600,NaN,1.32194986894436e-05,0.000723693950675241,NaN,0.00040034392212631,NaN,NaN
650,NaN,NaN,NaN,202.186444998888,NaN,NaN,123798.638053963
700,23967.538720344,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,1.20965194842569e-05,NaN,NaN,NaN,7.74957356811187e-07,99595.849570426
850,57931.6560669183,NaN,NaN,234.515632298644,NaN,NaN,NaN
950,NaN,3.42062981074885e-06,0.000122495589101467,NaN,NaN,NaN,-7104.87386975806
1000,23369.8464339826,4.25549278053137e-06,NaN,217.447816244989,0.000401218615699248,1.3056414169664e-06,17407.5735915675
1500,-3698.76582153687,4.25125707166939e-06,0.000131461767168236,NaN,NaN,1.56438626740242e-06,-46011.4950680831
2000,NaN,-6.93192669274892e-06,-5.52743495942208e-05,NaN,0.000272918632858385,1.70643713553679e-06,NaN
2500,NaN,NaN,2.21453470039278e-05,NaN,0.000184723390431491,1.73482176290775e-06,NaN
3000,NaN,NaN,3.29924617249745e-05,NaN,NaN,1.84607371110633e-06,NaN
3500,NaN,NaN,-1.85192689259358e-05,NaN,0.000124472813652394,1.58217592522319e-06,NaN
4500,NaN,NaN,NaN,NaN,0.000104943183909932,1.35210370761127e-06,NaN
5500,NaN,NaN,NaN,NaN,6.10492190744029e-05,9.80972186130275e-07,NaN
6500,NaN,NaN,NaN,NaN,NaN,7.30734873482353e-07,NaN
7000,NaN,NaN,NaN,NaN,1.90682557150029e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,2.07150147230007e-07,NaN
8500,NaN,NaN,NaN,NaN,3.81304691961366e-05,2.95405204520111e-07,NaN
