t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-1463.43444275792,-8.33281613800574e-07,7.46114461181237e-06,179.361097976131,-3.11909587359356e-06,1.6780642799945e-08,11383.5316275892
85,NaN,NaN,NaN,164.186565115177,NaN,NaN,NaN
100,NaN,2.5042933565379e-05,NaN,NaN,NaN,NaN,NaN
150,121096.090462587,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,255.532701103423,NaN,NaN,180865.971732916
250,NaN,1.82147945616822e-05,NaN,242.255607644998,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,4.85778466248079e-05,NaN,NaN
350,76537.9686160878,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,1.58770607963351e-05,NaN,259.456510889202,NaN,3.44724168691184e-08,116135.898095345
500,NaN,NaN,0.000306374471285508,220.374169309285,NaN,NaN,NaN
550,53925.8765836414,1.07230007342747e-05,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,7.48500986111897e-05,NaN,NaN
650,NaN,NaN,NaN,200.079476089358,NaN,NaN,78686.9493979395
700,NaN,7.0804340272062e-06,NaN,NaN,NaN,NaN,NaN
750,39811.3361218746,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,294.962268534217,NaN,1.80703230518143e-07,NaN
900,NaN,4.26088015812195e-06,NaN,NaN,9.0312734454418e-05,NaN,31846.3133764216
950,22675.317855964,NaN,NaN,NaN,NaN,NaN,NaN
1000,18556.1962157013,3.38047410822025e-06,0.000121523549151657,267.248346026731,NaN,2.95498887961882e-07,27717.9410946521
1500,3410.44269563623,4.20402677821101e-06,4.11186879144803e-05,NaN,8.26477151352988e-05,3.10940733921582e-07,-1240.34609926647
2000,-3521.22487835492,NaN,1.28258530946146e-05,NaN,7.4324043563119e-05,4.51658316091855e-07,8850.15968243716
2500,-2344.13371902052,NaN,NaN,NaN,5.62440865525235e-05,NaN,NaN
3000,3733.32315906836,NaN,5.65063134476631e-06,NaN,3.62916393017154e-05,4.43401130926513e-07,NaN
3500,NaN,NaN,1.13563970933305e-05,NaN,4.2056109371177e-05,4.37774081093629e-07,NaN
4000,NaN,NaN,NaN,NaN,NaN,3.3295945960392e-07,NaN
4500,NaN,NaN,1.03390306131667e-05,NaN,2.60978898939805e-05,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,2.63462262906534e-07,NaN
5500,NaN,NaN,5.20171179628404e-06,NaN,1.39997822331119e-05,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,2.3127412106615e-07,NaN
6500,NaN,NaN,NaN,NaN,1.75795280924953e-05,NaN,NaN
7000,NaN,NaN,1.0562188944601e-05,NaN,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,1.84294538747802e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,9.89978681496235e-08,NaN
