t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-7114.25977122525,1.86949536862787e-06,-1.32524798690442e-05,197.751442612098,-5.42039018341939e-06,7.60921465193182e-09,-1696.27392823811
85,NaN,NaN,NaN,237.455701761404,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,NaN,626729.61324741
150,345645.520867593,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,6.36125236286091e-05,NaN,233.607970982611,NaN,NaN,NaN
250,NaN,NaN,NaN,195.009819578799,NaN,NaN,436449.544451937
300,211989.156462847,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,300490.878494508
400,NaN,NaN,NaN,178.968071929101,NaN,1.59606312879509e-07,NaN
450,151102.791429137,2.54130920663175e-05,0.000774811652080089,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,207.880651886116,NaN,NaN,201243.881273918
550,NaN,NaN,NaN,NaN,0.000203121774804541,NaN,NaN
650,84413.1853211243,NaN,NaN,225.674283852902,NaN,NaN,148143.371776665
700,NaN,1.58728403278018e-05,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,272.306300747085,NaN,NaN,93960.3736197319
850,57971.2159413286,NaN,NaN,NaN,NaN,6.27786548305944e-07,NaN
900,NaN,NaN,0.000226502499459201,NaN,NaN,NaN,NaN
1000,14990.6443695946,7.51130733693961e-06,NaN,151.811224024301,0.000227638838193267,NaN,47728.2138946416
1500,19725.9569382056,3.67761415769298e-06,3.96058387835232e-05,222.768322571595,0.000193502973384145,8.48786359334682e-07,46065.4801892448
2000,652.743414164009,-2.42414043717835e-06,3.46032764631042e-05,NaN,NaN,NaN,-5923.63816326321
2500,1668.8752064486,NaN,-4.25987292273843e-06,NaN,0.000119712298696308,1.04525462579583e-06,-30900.1377830331
3000,-644.59372123176,NaN,NaN,NaN,0.000119226669438704,9.47199161939223e-07,NaN
3500,NaN,NaN,1.30304103044326e-05,NaN,NaN,8.27595586548762e-07,NaN
4000,NaN,NaN,3.59456074423536e-06,NaN,6.04342276493795e-05,8.91627941109989e-07,NaN
5000,NaN,NaN,2.14108902925497e-06,NaN,4.19257916409694e-05,7.0498365575022e-07,NaN
6000,NaN,NaN,2.21876690021539e-05,NaN,3.07572974848209e-05,4.13704265187828e-07,NaN
7000,NaN,NaN,NaN,NaN,1.167121773465e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,2.78031394339089e-07,NaN
8500,NaN,NaN,NaN,NaN,1.11047805142818e-05,1.6963087079628e-07,NaN
