t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,-103342.423373132,-6.7904950501312e-06,-2.88058754463548e-05,223.230115780366,-1.27778355816729e-05,1.16056785710719e-07,245358.14802328
30,4003484.0296175,NaN,NaN,NaN,NaN,NaN,9102283.01577803
60,4270196.80904823,0.000728701558185141,NaN,NaN,NaN,NaN,5904676.47091827
95,2424381.60982968,NaN,NaN,NaN,NaN,NaN,2622012.17717583
150,701433.872197914,0.000122773590377468,NaN,NaN,NaN,NaN,611273.354458046
200,95230.6604194605,3.61517022662027e-05,NaN,189.177713909947,NaN,NaN,308296.639603213
250,-32713.7954815287,9.63382822948784e-06,NaN,NaN,NaN,NaN,18088.4953615006
300,48258.7876594757,NaN,0.00165771441679972,NaN,NaN,NaN,444745.179184443
350,-277993.352836634,6.37481032622677e-06,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,235.969314720985,NaN,NaN,-71535.6861807065
450,-5486.30617999968,-1.0109069734035e-05,NaN,NaN,NaN,7.53864585409394e-07,-95495.76205154
500,23362.3188141532,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,4.61457043679952e-07,NaN,NaN,0.000581612275334971,NaN,256948.192494927
600,22799.6242110691,NaN,0.000115678907541316,240.67219844138,NaN,NaN,NaN
700,NaN,-6.94116264655027e-06,NaN,NaN,NaN,NaN,NaN
850,NaN,-3.55400353881171e-06,NaN,203.274321767949,NaN,NaN,NaN
900,NaN,NaN,1.53371870598872e-05,NaN,NaN,1.49481640460228e-06,NaN
1000,NaN,NaN,NaN,200.802316639717,0.000490198963194846,NaN,NaN
1500,NaN,NaN,-4.69092767642904e-06,218.273413282624,0.000338379669225014,2.07671677251737e-06,NaN
2000,NaN,NaN,1.90548835036224e-05,185.764000190169,NaN,2.58585649982688e-06,NaN
2500,NaN,NaN,NaN,NaN,0.000243910108519191,2.30102999501571e-06,NaN
3000,NaN,NaN,3.01569878689838e-05,228.138027860051,0.00015552452332371,2.29709685855008e-06,NaN
3500,NaN,NaN,NaN,198.829275989971,NaN,NaN,NaN
4000,NaN,NaN,NaN,NaN,0.000122008054566625,2.02312057285407e-06,NaN
5000,NaN,NaN,NaN,NaN,6.72885129354678e-05,1.36316006860408e-06,NaN
6000,NaN,NaN,NaN,NaN,6.62495471331768e-05,8.69833074089749e-07,NaN
7000,NaN,NaN,NaN,NaN,4.15419269472902e-05,8.17635360313056e-07,NaN
8500,NaN,NaN,NaN,NaN,5.11716600494715e-05,5.69539679672745e-07,NaN
