t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,156181.946909505,-4.19101851298372e-06,3.27158355432695e-05,242.457751260664,8.71149368177741e-06,-2.81418738904769e-08,-238715.830407647
35,6037870.76561157,NaN,NaN,NaN,NaN,NaN,9495166.91798584
45,NaN,0.000944773512629715,NaN,NaN,NaN,NaN,NaN
70,3214061.53749711,NaN,NaN,NaN,NaN,NaN,3004591.72083728
95,NaN,0.000288583955845154,NaN,NaN,NaN,NaN,NaN
100,1356491.72900709,NaN,NaN,NaN,NaN,NaN,1301438.91325563
150,293546.151913083,7.52131588467387e-05,NaN,233.655261823548,NaN,NaN,289698.095666328
200,164166.474551346,2.30614259074106e-05,NaN,NaN,NaN,NaN,267962.674923917
250,57159.1268378337,-1.4981792195592e-05,0.00209861181217207,NaN,NaN,NaN,-261484.600175315
300,126952.077046059,-5.93112015498786e-07,NaN,211.042309598131,NaN,NaN,-10453.1490688324
350,-21044.9902597541,NaN,NaN,NaN,NaN,NaN,NaN
400,27305.9646307844,1.0539755199677e-05,NaN,NaN,NaN,NaN,-3662.2185875176
450,-132988.451373643,-5.72312766045795e-06,0.000300015347818173,228.251140268831,NaN,8.20103212209061e-07,92934.7647334863
550,-69364.9190770385,-6.09571738465786e-06,NaN,NaN,0.000619365496454409,NaN,-11251.4863419533
650,38014.7366140966,NaN,NaN,243.136208481572,NaN,NaN,NaN
700,NaN,6.77752676636286e-06,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,0.00010706999345099,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,199.691161135736,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,1.92704964572346e-06,NaN
1000,NaN,NaN,3.46959702725893e-05,227.658519756098,0.000460205767985121,NaN,NaN
1500,NaN,NaN,-2.96794110057552e-05,239.47201740967,0.000441231028707785,2.52421596671059e-06,NaN
2000,NaN,NaN,1.92272969504286e-05,210.589005764497,NaN,2.35928655218694e-06,NaN
2500,NaN,NaN,8.29608937466341e-06,227.67782252608,0.000213532018105777,2.55443981446711e-06,NaN
3000,NaN,NaN,NaN,NaN,0.000224124691626378,2.44464929169953e-06,NaN
4000,NaN,NaN,NaN,NaN,0.000141356638081479,1.81646187825423e-06,NaN
4500,NaN,NaN,NaN,NaN,NaN,1.472140951728e-06,NaN
5000,NaN,NaN,NaN,NaN,7.98748436695912e-05,NaN,NaN
6000,NaN,NaN,NaN,NaN,4.75129207285793e-05,8.80236043328187e-07,NaN
7000,NaN,NaN,NaN,NaN,4.75815866351781e-05,6.36225926112406e-07,NaN
8500,NaN,NaN,NaN,NaN,2.64380278152097e-05,5.68377478100298e-07,NaN
