t,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,75885.8162315105,-5.3388384391639e-06,-1.25612229938459e-06,194.861647250226,1.20039414501924e-05,-1.01446032148713e-07,246986.526070443
45,NaN,NaN,NaN,NaN,NaN,NaN,4455636.24688854
55,2466733.05776123,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.000472283461187171,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,3175884.55693354
100,2085893.67934463,NaN,NaN,NaN,NaN,NaN,NaN
150,1256723.69150609,0.000218384104066134,NaN,198.285007574336,NaN,NaN,1937404.39633348
200,NaN,0.000117295532446691,NaN,NaN,NaN,NaN,852632.531090682
250,349701.068113036,NaN,NaN,NaN,NaN,NaN,389313.066582155
300,109671.637977108,4.64809051638083e-05,0.00254178926567391,173.468431265463,NaN,NaN,291705.369285449
350,NaN,3.35145340231367e-05,NaN,NaN,NaN,NaN,NaN
400,99015.5855788859,NaN,NaN,NaN,NaN,1.66346326581638e-07,-119441.80872659
450,NaN,-3.71505194975753e-06,NaN,NaN,NaN,NaN,-113983.604492008
500,-23076.6783850206,NaN,NaN,207.22705365749,NaN,NaN,NaN
550,NaN,1.20523738659184e-05,NaN,NaN,0.00055600855502621,NaN,-79750.2693637091
600,-42140.3315897594,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,0.000132876762302858,NaN,NaN,NaN,NaN
700,NaN,-1.72473533611312e-05,NaN,227.455146362042,NaN,NaN,-67655.1945046602
750,32051.6760909846,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,-2.59670020097513e-06,NaN,NaN,NaN,1.19825926005131e-06,-10178.4484829639
900,8530.15882310574,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,244.317934321406,NaN,NaN,NaN
1000,NaN,-1.41129589685542e-06,2.20483411616412e-05,268.027533491349,0.000440328190001413,NaN,NaN
1500,NaN,NaN,2.92650228389012e-05,240.465253914837,0.000360365449618371,1.81528314431473e-06,NaN
2000,NaN,NaN,6.91060583971879e-05,245.812822221437,NaN,2.04418288905275e-06,NaN
2500,NaN,NaN,3.8762240921517e-06,224.241988190257,0.000224905182422177,2.47476225738143e-06,NaN
3000,NaN,NaN,-1.13073246965199e-06,210.780193684948,0.000173871813230509,2.15423135518286e-06,NaN
3500,NaN,NaN,NaN,NaN,NaN,1.86337845202356e-06,NaN
4000,NaN,NaN,NaN,NaN,8.36817206499108e-05,1.61143787084665e-06,NaN
5000,NaN,NaN,NaN,NaN,7.3828663853917e-05,1.48656948488925e-06,NaN
6000,NaN,NaN,NaN,NaN,5.42427730862771e-05,7.3633282576303e-07,NaN
7000,NaN,NaN,NaN,NaN,3.09351196019681e-05,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,4.88261000360647e-07,NaN
8500,NaN,NaN,NaN,NaN,5.29917308772951e-05,1.98166168406908e-07,NaN
