timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.68477966528995,-0.761118663201185,9.45937086636444
350,NaN,-0.248481768291399,NaN
400,9.19314978123755,NaN,8.74557735011648
750,NaN,3.19819353179571,NaN
800,7.16307335427177,NaN,10.8766646129251
1000,5.15075984009984,7.12689840155007,10.1458343647552
1500,2.14004162575828,8.21686205401745,9.23896173101506
2000,NaN,7.73968594637178,6.58932611529876
2500,1.39104722169204,5.88733243076741,4.95842609427694
3000,0.912082297020933,4.62011125527462,NaN
3500,NaN,NaN,4.45734300329868
4000,0.729729836226548,3.69879159782938,3.08857438193884
4500,NaN,4.19445835341827,NaN
5000,NaN,NaN,2.1389467990406
5500,NaN,3.39566411949693,NaN
6000,NaN,NaN,3.55221838440091
6500,NaN,3.36500320338252,NaN
7000,NaN,NaN,2.0279212064806
8000,NaN,2.175317266446,NaN
8500,NaN,NaN,1.02282367214326
