timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.2127273142865,0.660020807365113,10.8349204258551
300,0.0559194048939756,9.64899820594177,NaN
350,NaN,NaN,8.97008415935421
600,-0.0756926170263775,9.90623700362978,NaN
750,NaN,NaN,10.069888887121
900,NaN,8.68063111733339,NaN
950,0.658446027935833,NaN,NaN
1000,NaN,8.58536622310757,8.02287787598693
1500,0.438988689734551,7.67020273260853,7.62742886632198
2000,0.809586829954612,7.16367585529372,8.40409115067624
2500,0.676784685922359,8.97654602526373,6.50454473364834
3000,NaN,7.28578288916667,7.11079028849132
3500,0.479092684858412,6.98522148689114,NaN
4000,0.659617002434186,5.1448588015938,6.037535344712
4500,NaN,5.7697460735606,NaN
5000,0.45961181552418,NaN,4.75531599741888
5500,NaN,5.75552816602949,NaN
6000,NaN,NaN,4.38653638883892
6500,NaN,6.17465355354955,NaN
7000,NaN,NaN,5.34213592811158
7500,NaN,4.19158385910318,NaN
8500,NaN,NaN,3.6264982201746
