timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.78787727733829,-0.113720720601424,10.4494728829312
350,NaN,0.226907862742793,NaN
400,NaN,NaN,9.9830749908409
450,8.55320694088723,NaN,NaN
700,NaN,0.141020648633144,NaN
800,NaN,NaN,9.40582487878626
900,9.23767583818655,NaN,NaN
1000,NaN,0.997443463513263,NaN
1500,9.22803095755129,1.90549534128008,9.19121264898226
2000,7.76665044022846,3.20629178292912,7.65310406612723
2500,5.74653924898793,3.60902340990693,NaN
3000,NaN,2.7754401914501,3.77311380878613
3500,2.43126672977999,NaN,3.09604135959903
4000,NaN,1.92804945084749,1.91330112609229
4500,1.53297543475263,NaN,NaN
5000,NaN,1.83741945878435,1.57181337769562
5500,1.35684182793962,NaN,NaN
6000,NaN,1.74819039362432,0.750997910186942
7000,0.841620607601594,NaN,-0.0969518533813246
8500,1.13254170742194,NaN,0.251332563824471
