timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.64674286159971,-0.0295964175511578,11.2674791073871
400,9.36506160242277,-0.00590679797469017,NaN
500,NaN,NaN,9.26665627673785
800,NaN,0.300479506261548,NaN
850,9.57920201073861,NaN,NaN
950,NaN,NaN,10.081193722547
1000,NaN,0.30248373385801,NaN
1500,10.2420419229986,0.659869317197101,10.080029947771
2000,9.01579172662209,1.19218721012696,9.14878262326438
2500,8.12686395916177,1.74599008018181,9.2203402989315
3000,8.72775792485321,NaN,NaN
3500,NaN,1.74191016156683,6.37214943697709
4000,5.4181075463137,1.61201939902538,NaN
4500,4.01037423372951,NaN,5.08518224892911
5000,NaN,1.38109115798165,NaN
5500,NaN,NaN,4.03090330229289
6000,2.39282870692796,1.09603362049581,NaN
7000,NaN,1.08993927135463,1.44839504555146
7500,1.79076075540535,NaN,NaN
8000,NaN,0.969763064899989,NaN
8500,NaN,NaN,2.49271175710999
