timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.96477705602191,-0.400393857828326,9.73273938168879
250,-0.0748245944568184,NaN,NaN
300,NaN,10.1600476238322,NaN
350,NaN,NaN,9.93584019908
500,0.214846590484841,NaN,NaN
600,NaN,8.54682917023311,NaN
750,0.109755456961314,NaN,9.52335812795964
900,NaN,9.57661256025501,NaN
1000,0.0168489520176935,9.090226563969,8.03132559847415
1500,0.580124505492901,8.60568733336223,7.61082130971925
2000,0.973736434828553,9.38082962169775,8.07250057926384
2500,0.855098999051566,7.36757760964485,6.76253589767509
3000,1.1507997129868,9.48461398357312,7.45774127291185
3500,1.17360459248837,7.45264200454099,NaN
4000,0.950041468225053,6.68531434701839,6.00593725420214
4500,NaN,7.12581874204084,NaN
5000,0.974576509810895,NaN,5.76475834689752
5500,NaN,6.18080181875433,NaN
6000,NaN,NaN,5.49234381140246
6500,NaN,5.96906330460002,NaN
7000,NaN,NaN,4.35926117971138
7500,NaN,4.97170274100706,NaN
8500,NaN,NaN,4.19725685116623
