timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.23701155429817,-0.297979749821551,10.2204085311099
300,9.18791177509968,NaN,NaN
350,NaN,-0.145377434964044,10.08862361775
600,8.81177880048722,NaN,NaN
650,NaN,1.80946505495791,NaN
750,NaN,NaN,9.64870609232066
950,6.78053614378104,NaN,NaN
1000,NaN,4.21814828777516,9.73403640308024
1500,3.09441168604276,8.10502559176235,8.65246177733391
2000,1.88944611901064,7.936533536427,6.94541389575084
2500,1.82322638131478,6.58351291463795,5.8294007548182
3000,NaN,5.81817261206182,4.35179261557647
3500,1.21745998631092,5.24970642025715,3.79162287410435
4000,1.06864485345127,4.01975168199001,NaN
4500,NaN,NaN,3.13789648406522
5000,0.923868081311749,3.08406431426537,3.29314542105621
6000,NaN,3.14494816031642,1.72144093558953
7000,NaN,3.16763550754145,NaN
7500,NaN,NaN,1.03616756396767
8500,NaN,NaN,1.01933050598266
