timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.1328911288349,0.07530359883873,10.0843985760582
350,9.84918925233135,NaN,NaN
400,NaN,1.41955371867143,NaN
500,NaN,NaN,9.15933165116552
750,7.74152154690408,NaN,NaN
800,NaN,3.50888107769826,NaN
1000,6.02869485882141,5.5012465983295,9.71880545093541
1500,3.11712653658571,7.06298225183719,9.01686252478319
2000,1.97507821880134,7.13745460976149,NaN
2500,0.661587425640986,5.64410258741622,5.14355918620328
3000,1.42433462524319,NaN,4.85027778787933
3500,NaN,4.24859708756905,NaN
4000,0.312702765417859,3.63138483343597,3.1294536091983
4500,-0.187042261774517,NaN,NaN
5000,NaN,3.01609179366922,NaN
5500,0.847050674996317,NaN,2.36157936978277
6000,NaN,2.6815577352345,NaN
7000,0.201047926559058,2.26308064068146,2.95857216190952
8500,NaN,1.79570270689293,1.5274824133582
