timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.2624922968333,0.00933587798687755,8.95174315430744
400,10.3519593986674,0.356627169372929,9.44883529951063
750,10.2351043022615,NaN,NaN
850,NaN,0.401244895595711,9.72165677925888
1000,9.64296161491657,NaN,NaN
1500,8.81710461386781,1.51022897034431,10.9585156439615
2000,8.73759641996386,2.49207383771935,8.65102166866425
2500,6.34830101495807,2.36290079389502,6.44213120657381
3000,NaN,2.61516634766862,5.3262715542784
3500,4.90229064041688,NaN,NaN
4000,3.58350642860004,2.03521994880303,4.21738865853834
4500,NaN,1.71269347348294,1.67056861639955
5000,1.31316815704971,NaN,NaN
5500,NaN,1.0836068294204,NaN
6000,1.33015434376151,NaN,1.67368715643523
7000,1.20007016142942,1.04903796734721,0.412319910332023
8500,NaN,0.626196061819317,0.368712221514153
