timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.1538047165032,0.0273613834942962,10.4612696561883
350,NaN,1.18162933684603,NaN
400,9.30886647661474,NaN,NaN
450,NaN,NaN,10.8865377664418
700,NaN,1.75653509353394,NaN
800,7.13142060331267,NaN,NaN
850,NaN,NaN,9.5629974454431
1000,5.76368821988124,4.8193246228759,NaN
1500,3.27940404371566,7.00827663706471,9.38406349101573
2000,2.5939722698568,6.52482418740606,6.63042478532058
2500,NaN,6.07117055010736,5.52859077504736
3000,1.07245403788503,5.10348997654669,4.52266218041511
3500,0.603222341103636,5.46574918027031,NaN
4000,NaN,3.77884074184136,3.30134678907936
4500,0.846869999832644,NaN,2.57415869035539
5000,NaN,2.70226926700225,NaN
5500,1.08574061352898,NaN,NaN
6000,NaN,2.82151452505916,2.12859778373423
7000,0.638975609845395,1.62138822794731,0.151591337870233
8000,NaN,1.84162130252219,NaN
8500,NaN,NaN,1.08044512105418
