timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.3624546896713,-0.177876501132953,9.35609849599898
350,NaN,0.102826176826753,10.322846359291
450,9.48184478675791,NaN,NaN
750,NaN,0.520615791431079,11.374554919989
900,10.1485792827937,NaN,NaN
1000,NaN,1.01329032795552,9.39924714404661
1500,8.618857499209,3.61069732904062,9.07086390072673
2000,6.13351660304699,3.95747017943175,7.2437521900656
2500,3.72237450494388,3.03438465053537,4.02084908031823
3000,3.50944899777483,2.78462248653044,NaN
3500,NaN,NaN,1.87365156230385
4000,1.61884431998952,2.0735707250079,0.614295206880103
5000,0.515063038848286,1.52228830257142,0.421075022922229
6000,1.20889059690205,1.5866526364818,-0.310031151599961
7000,0.312592697914143,1.37530393462139,NaN
7500,NaN,NaN,0.407976557672598
8500,1.25290718247121,NaN,NaN
