timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.6107188511338,-0.613557726967673,9.48275352159785
200,-0.262567879188126,NaN,NaN
250,NaN,9.26690060629693,NaN
350,NaN,NaN,9.15618789003401
400,0.189466984359015,NaN,NaN
450,NaN,8.66694457126793,NaN
600,0.0748765526629323,NaN,NaN
700,NaN,9.21774989534915,NaN
750,NaN,NaN,8.32310556886804
800,0.386351723987869,NaN,NaN
950,NaN,7.74811527938555,NaN
1000,0.386318455533647,9.53881165899246,9.31259801786364
1500,0.816630580442358,9.02053506317798,7.92844746265905
2000,0.648825282529021,7.86007793267166,6.10625764791136
2500,0.657510878070529,7.86220282908005,7.95197894645527
3000,0.575028969367903,7.84920232980468,5.69107431022711
3500,NaN,6.41130426712816,NaN
4000,NaN,NaN,5.8966576598641
4500,NaN,7.60814792901052,NaN
5000,NaN,5.75557849549215,5.21238722484617
6000,NaN,4.77883186805567,5.63819960080146
7000,NaN,NaN,4.92010690299708
8500,NaN,NaN,4.26209908440681
