timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.27011335398933,0.000654209103586599,9.64169674921322
200,10.6657749401537,NaN,NaN
350,9.45505805207551,NaN,NaN
400,NaN,0.167985781672559,10.420422120516
600,9.30410078082588,NaN,NaN
800,10.0650152627638,NaN,9.53401932975146
850,NaN,0.601499216325041,NaN
1000,7.91762711458105,NaN,10.1229445815131
1500,2.30718137702229,8.39074973102831,8.71956606757021
2000,2.15785937266368,7.8455931855112,6.31813465274849
2500,1.33260548884799,6.70208073212046,6.01403226976188
3000,NaN,5.77335867195913,NaN
3500,NaN,4.37963844831444,3.45443045762834
4000,NaN,NaN,1.94368599130815
4500,NaN,3.27499469136339,NaN
5000,NaN,NaN,1.8454235398106
5500,NaN,2.76151658190881,NaN
6000,NaN,NaN,2.07888258734907
7000,NaN,2.81245283841419,1.21609486731915
8000,NaN,2.0537674919622,NaN
8500,NaN,NaN,0.539519213312656
