timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.0310764515143,0.220683251332621,10.1923696922227
250,0.0825026872280327,NaN,NaN
300,NaN,10.0426877812277,NaN
350,NaN,NaN,9.30851097309456
550,-0.0459971058702287,NaN,NaN
650,NaN,7.77613878659282,NaN
750,NaN,NaN,7.92049601312418
800,0.0290265454922386,NaN,NaN
950,NaN,10.0539176377117,NaN
1000,0.243934660837976,NaN,7.61022395772835
1500,0.230319149557472,7.98739678649214,7.35389284682259
2000,0.395348379878864,7.47458861354472,7.62964116146274
2500,0.463313566036633,6.64607788793347,6.3384708875903
3000,0.687676578040228,6.81829566516398,6.09358768853247
4000,0.253233562042363,7.5585959033962,5.17603075669046
4500,0.428754148362927,6.30728957488917,NaN
5000,NaN,NaN,5.24757094747077
5500,0.573241373823728,5.71442513642454,NaN
6000,NaN,NaN,4.11569585847584
6500,NaN,5.63634939362898,NaN
7000,NaN,NaN,3.88193523059542
7500,NaN,5.14114816365693,NaN
8500,NaN,NaN,4.83746660285562
