timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.1820983773382,0.2206103601392,10.2860848727097
250,NaN,9.2166263870417,NaN
300,0.178653943219197,NaN,NaN
350,NaN,NaN,8.2349173071832
500,NaN,8.60657919036523,NaN
550,0.451124539031165,NaN,NaN
700,NaN,NaN,7.66357318658497
800,NaN,8.80864907586799,NaN
900,0.346775382334082,NaN,NaN
1000,0.749024664816382,8.54680802117536,8.10513434434257
1500,0.857605639464081,9.10541921809459,7.78936275626953
2000,0.637553140202767,8.09942592087634,6.79684597038082
2500,0.636798386812854,7.83514829950156,7.90309808644808
3000,0.827958808988641,7.33213998864279,7.27873374604498
3500,NaN,7.73159057094097,6.63583392461312
4000,0.675782727335211,6.70360916428355,5.65540979032702
4500,0.631316975143759,NaN,NaN
5000,NaN,5.85577568951674,5.02165613755962
6000,NaN,6.80710964491377,4.8695197982349
7000,NaN,NaN,3.45081150897906
8500,NaN,NaN,3.16118951543996
