timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.2581448753047,-0.0639866850874529,9.44965345079114
400,NaN,0.184290013153671,10.2117555315965
450,10.2586019974415,NaN,NaN
800,NaN,0.545616101757224,8.83142338887
900,9.80653448909423,NaN,NaN
1000,NaN,NaN,9.13114766708464
1500,8.70091179865265,2.68279169313164,9.03033291620703
2000,6.68550187712262,NaN,8.13180291391799
2500,5.18779505237777,3.10012510806504,NaN
3000,3.91890221828189,2.67930326963235,3.5156315411216
3500,NaN,2.34102462896668,2.7626589753837
4000,2.50218090553865,NaN,1.54016199247931
4500,2.18493396368002,1.6745810946466,NaN
5000,NaN,NaN,0.692274199463386
5500,NaN,1.31809855103149,NaN
6000,0.777529552971678,NaN,0.536604939055676
6500,NaN,1.44277165104485,NaN
7000,0.810917451630131,NaN,0.735777802866863
8000,NaN,1.28280733489967,NaN
8500,0.999094716706119,NaN,0.292663193222922
