timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.181877918408,-0.162438113360234,9.5557496595452
300,0.0987508281368827,NaN,NaN
350,NaN,10.2320142987008,NaN
400,NaN,NaN,10.4235255875282
600,0.0856994913416601,NaN,NaN
650,NaN,8.25107065913251,NaN
750,NaN,NaN,9.18612751049008
900,0.271046142113431,NaN,NaN
1000,NaN,7.76638965388386,8.48162090009889
1500,0.0911010005768009,9.73798763285492,8.19841049509824
2000,0.239614783446416,7.95308668440476,6.88223225805216
2500,0.223350924174409,7.7297775669003,7.26721957366742
3000,0.365058139225584,NaN,NaN
3500,0.519343173610426,6.45812929735582,6.57819294939742
4000,NaN,6.07200909886957,6.62165232460849
4500,0.47172306326738,5.39355100766624,NaN
5000,0.560544407771708,NaN,6.15314523121771
5500,NaN,4.33203868612332,NaN
6000,0.581825057965094,NaN,4.78496372408506
6500,NaN,5.83529908048354,NaN
7000,NaN,NaN,3.7689997189324
7500,NaN,4.11508376184544,NaN
8500,NaN,NaN,4.62583356216396
