timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.0911490519208,0.497777828828229,10.7136926173782
350,9.49042842564984,0.954942499264301,NaN
450,NaN,NaN,10.8710590763917
700,8.42176388047614,NaN,NaN
750,NaN,2.43881171677778,NaN
900,NaN,NaN,10.5916462725272
1000,6.24539616201157,4.47744980664606,NaN
1500,3.0655944433877,6.7786638813662,8.73798548679046
2000,2.65671872421387,7.33903303021774,6.90393952254358
2500,0.356156666823271,5.68756434542736,6.00667383405087
3000,0.884911759427786,5.9621314238906,4.38198696002005
3500,0.256559952046578,NaN,NaN
4000,NaN,3.93383944529127,2.81476830649535
4500,0.410830787144836,2.96530327239526,NaN
5000,NaN,NaN,3.99427424386553
5500,0.630636931474618,3.08786621784901,NaN
6000,NaN,NaN,1.25208074279994
6500,-0.0625980468762699,2.71894438100834,NaN
7000,NaN,NaN,2.89659951814821
8000,NaN,2.01669759619408,NaN
8500,NaN,NaN,0.703795918958096
