timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.7468804949996,-0.0478721154659612,10.6980314270674
300,NaN,-0.007900350258513,NaN
400,9.45235980913069,NaN,NaN
450,NaN,NaN,9.33735903855336
650,NaN,0.254044648866652,NaN
850,9.73638857618692,NaN,NaN
900,NaN,NaN,8.87279606616509
1000,NaN,0.652202729169896,NaN
1500,10.423471063032,1.72759039390734,10.6675698047756
2000,7.28906194439375,2.145651899643,8.69213180205748
2500,7.59995454815471,2.19050996617158,7.02989463057733
3000,4.78546049856931,1.95965740276969,5.4379429271178
3500,NaN,1.71142407199711,NaN
4000,3.05536258173446,NaN,3.88965744632198
4500,3.19064276934614,1.5461637633693,NaN
5000,NaN,1.30145382004795,2.5805966524292
6000,1.7127291503022,1.13567776334205,1.48794260970676
7000,1.77545798487526,NaN,0.434488858478072
7500,NaN,0.976633384022569,NaN
8500,0.686276179498984,NaN,-0.675737605072984
