timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.71730857756311,-0.138655653180088,10.0937206100692
350,10.0756334881385,NaN,NaN
450,NaN,0.0769843153041231,10.9253442982528
700,8.64038578847043,NaN,NaN
850,NaN,NaN,9.25144334456761
900,NaN,3.40720854802152,NaN
1000,7.26345439862109,NaN,NaN
1500,4.10383054866161,6.29818695892927,8.39377514550266
2000,1.97550589290041,8.2669585465921,8.89171371593087
2500,1.10757558881862,7.45614836945251,6.03648363370679
3000,1.6919276782293,5.07432384432068,5.28879706264547
3500,1.73682818794813,NaN,NaN
4000,NaN,4.5643435552898,4.07734866786264
4500,0.380152515897978,3.9277427570414,3.50946379077305
5500,0.830164371952577,NaN,2.19371553029303
6000,NaN,2.85335995156523,NaN
6500,0.800920554640263,NaN,NaN
7000,NaN,3.02233914439188,1.79438628701268
8500,NaN,3.21527366339197,1.30729837571194
