t,IR_Obs,IRi_Obs,Compound_1_Obs
0,11.4699133291003,0.19923358047203,12.2538524522655
1,NaN,0.562370798501768,8.5533057169035
1.5,6.42063677690981,NaN,NaN
2.5,NaN,0.0312770639530986,10.7796799838028
3,5.19631055357333,NaN,NaN
3.5,NaN,0.156836753876184,6.76092244396585
5,2.00818182522958,0.547312514940326,6.6344815346026
6.5,NaN,1.04279528306868,4.6376621664206
7,0.979672914399648,NaN,NaN
8,NaN,1.15915746435054,8.02440326214444
9,1.26899515128929,NaN,NaN
10,0.0415529215748951,2.14709498453653,5.58963316772383
15,1.00188307864372,3.0250443146347,10.5276881587479
20,0.937811564291781,3.98613154921709,13.1891895597451
