t,IR_Obs,IRp_Obs,IRi_Obs,XX_Obs,XXp_Obs,Compound_1_Obs
0,9.8234887530618,8.23827941993201e-08,0.148022486289021,10.543706562348,0.000134344219356718,11.0077343992976
1.5,0.27385551420158,NaN,NaN,NaN,NaN,NaN
2.5,NaN,8.15281667567293e-07,NaN,NaN,NaN,NaN
3.5,0.239798618013826,NaN,2.77099715759178,NaN,NaN,9.47445943207643
4,NaN,NaN,NaN,NaN,0.00379758653460512,NaN
5,-0.201591554623334,6.51510550691659e-07,NaN,8.89434613510631,NaN,NaN
6.5,NaN,NaN,2.53279867100603,NaN,NaN,NaN
7,0.58408305050678,NaN,NaN,NaN,NaN,7.64206821420846
8,NaN,5.99966479591557e-07,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.00282765539172391,NaN
9,-0.119047265202167,NaN,NaN,NaN,NaN,NaN
10,-0.136157857976699,6.03841753300767e-07,1.90577049101999,4.86542059520672,NaN,13.5649490702341
15,0.619708466870384,5.83577110502732e-07,5.39063552222279,9.57601587730452,0.00355503039051078,9.39699404598003
20,0.0367307561659471,3.85924696960374e-07,4.446893339398,10.6294541438259,0.00181542493053071,9.72300185667341
25,NaN,4.95309745293678e-07,3.29237285152325,NaN,0.00249680132895579,12.8038262805932
30,NaN,5.30030518587832e-07,6.47099967930629,7.78219568190582,0.0022230186119691,8.4537341952831
35,NaN,3.90839693433322e-07,6.25531977081382,13.4005568693681,NaN,NaN
40,NaN,3.90055775830472e-07,4.68536107473338,NaN,0.00126286200281797,13.3483391433378
45,NaN,NaN,NaN,9.19456404292555,NaN,NaN
50,NaN,1.08423204235081e-07,5.93343670005943,NaN,0.00210621503781082,18.8737602229068
60,NaN,3.17564937706674e-07,7.19203881503312,8.97201848444759,0.00315305540047406,15.6313676621271
70,NaN,NaN,6.39530199183021,13.7138474456802,0.00224789842640929,15.3398978176261
