t,Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,pJAK2_Obs,DecoyR_Obs
0,1.41300260673854,0.00197304327606236,0.0916259800865546,-0.0212941672208985,0.338842963479748
3.5,NaN,NaN,NaN,NaN,-0.0035433466598099
7.5,NaN,NaN,NaN,NaN,0.00137749326814244
10,NaN,0.376181110867307,1.38891963965096,2.39098409770141,-0.000227126517601366
15,1.15497057761004,NaN,NaN,NaN,-0.00231957438226135
20,NaN,NaN,NaN,NaN,-0.000649332768213967
25,NaN,0.341809104307102,1.68047431256801,2.76514010064588,0.0061928853239456
30,0.976072061701937,NaN,NaN,NaN,NaN
35,NaN,0.337681929226269,1.83873249777802,2.11466892040203,-0.00217647829392356
45,1.11817333575307,NaN,NaN,NaN,NaN
50,NaN,0.318195158688551,1.54129201689369,2.47974741534878,NaN
60,1.03427279474826,NaN,1.49412784703995,NaN,NaN
65,NaN,0.295485541463952,NaN,1.95122579849815,NaN
75,0.866106839777319,NaN,NaN,NaN,NaN
80,NaN,0.34699622877047,1.73351452245373,2.23912587106971,NaN
95,0.943256879519809,NaN,1.39491274029218,NaN,NaN
100,0.925456519329491,0.332643863891799,1.75825360595479,1.64710536303839,NaN
150,1.15623216428509,0.286589030944673,1.4880157384505,1.50674254700122,NaN
200,0.873583263737208,0.331076929224818,1.25805052988271,1.56734632579115,NaN
250,0.791197243982172,0.248757570243192,1.26844180084793,1.21802288731491,NaN
300,0.784803693305099,0.22372122733205,1.07397120690123,NaN,NaN
