t,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,CD274mRNA_Obs
0,-0.0176039594458014,0.0947799805810847,2.73208097737516,-0.197990451718425,156.613771231751,-68.1345930922484,0.353770137678201,24.8218435281901
5,NaN,NaN,NaN,NaN,NaN,NaN,0.0785272376874675,NaN
10,NaN,0.393112156732981,0.998484561261707,NaN,144.662462863791,-54.5097332881592,0.0265434283372019,-11.6742068457779
15,0.135073617870624,NaN,NaN,2.11759486220894,NaN,NaN,0.0019691570813947,NaN
20,NaN,NaN,NaN,NaN,NaN,-33.7345842970535,NaN,NaN
25,NaN,0.507194968346419,0.402100112601698,NaN,97.9756278249028,NaN,0.000441316572366391,23.8298819984547
30,0.130064608233522,NaN,NaN,2.30991190771396,NaN,302.345088101628,NaN,NaN
35,NaN,0.605220727538062,NaN,NaN,78.7648361571538,NaN,-0.00824753798222475,39.7989428355667
40,0.108561919508592,NaN,0.852423018353572,NaN,NaN,358.314537980386,NaN,NaN
45,NaN,NaN,NaN,2.20381302388971,NaN,NaN,NaN,43.228033466503
50,NaN,0.571509553705754,NaN,NaN,72.1112053284491,NaN,NaN,NaN
55,NaN,NaN,0.698194626336911,NaN,NaN,475.735552940213,NaN,NaN
60,0.121711103148245,0.530092593289672,NaN,1.93140743994744,NaN,NaN,NaN,85.329143768194
65,NaN,NaN,NaN,NaN,81.768857641211,NaN,NaN,NaN
70,NaN,NaN,0.624381070388625,NaN,NaN,783.647248242389,NaN,NaN
75,0.131491281600171,NaN,NaN,NaN,NaN,NaN,NaN,139.641287769068
80,NaN,0.483581361971936,NaN,1.83414430810125,70.9519669939196,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,985.689234769095,NaN,NaN
90,NaN,NaN,1.10968219670585,NaN,NaN,NaN,NaN,NaN
95,0.103504294735431,0.56936326937238,NaN,NaN,NaN,NaN,NaN,155.7433365512
100,0.122294729046496,0.579043924331606,1.04996497286611,1.86747102542563,105.446381124993,1097.82591423193,NaN,174.662532036544
150,0.10598757455714,0.550125088636294,1.50548354196882,1.16101124111892,120.27736065088,1701.68899413375,NaN,252.673736701506
200,0.111597123405862,0.578748753301107,1.6803328142462,1.25396765924979,107.364940379331,2114.94440875575,NaN,314.403183951568
250,0.106479673080749,0.55874986184278,1.99483581500213,0.883289815025641,97.829586645521,2680.48556228135,NaN,395.155766867033
300,0.0996758499962749,0.462492260989196,NaN,0.646993275025979,110.658560378748,3068.6759593421,NaN,447.590296415292
