t,Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,pJAK2_Obs,DecoyR_Obs,Rec_i_Obs
0,1.27056524592794,-0.0782716430900986,2.75412360375324,-0.181226467184662,0.318672037123139,176.562669533673
3.5,NaN,NaN,NaN,NaN,NaN,186.864101455769
4,1.43102984479408,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.0982315704972547,NaN,NaN
5,NaN,-0.145040126342297,NaN,NaN,NaN,NaN
6,NaN,NaN,2.720966679714,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.407486608366904,175.008344302416
8,1.24053869111238,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,0.0472938327186229,NaN,NaN
10,1.52089184588235,0.235287620895457,2.84151561915587,NaN,NaN,202.603110407526
15,1.67812317297736,0.105631611274786,NaN,0.12774864454843,0.308908769579147,135.514511911535
20,NaN,NaN,3.35463648613797,-0.0731723439469339,NaN,166.915772120008
25,1.62444346212092,0.230791475401946,3.02888548901591,-0.0760770618460222,0.30426963183795,NaN
30,1.79024972062349,0.0273603604946193,NaN,NaN,NaN,160.363068240193
35,NaN,NaN,2.410310052451,0.0119808639098582,0.303965177030091,NaN
45,NaN,NaN,NaN,NaN,0.294451936352759,NaN
