t,Rec_Obs,p_IL13_Rec_i_Obs,pJAK2_Obs,STAT5_Obs,SOCS3mRNA_Obs,CD274mRNA_Obs
0,1.44160355656151,-0.00438404183745061,-0.000943499007730295,175.770294037622,40.4806726457929,-2.4828245141736
9.5,NaN,0.09202181953792,NaN,NaN,NaN,NaN
10,1.73245523733474,NaN,NaN,NaN,97.6265190387896,3.78637089232658
15,NaN,NaN,0.968759049615117,139.967974831307,NaN,NaN
20,NaN,0.13165937705954,NaN,NaN,NaN,NaN
25,1.71291854626604,NaN,1.28350635035255,141.8573427229,155.78774419751,-7.52333382043396
30,NaN,0.132188854750077,NaN,NaN,NaN,NaN
35,1.59985255133005,NaN,NaN,NaN,NaN,NaN
40,NaN,0.122514191014733,1.34145310427347,97.1646982734613,322.37079867722,30.7518412656796
50,1.49428420847065,NaN,NaN,NaN,205.139926462849,NaN
55,NaN,0.115313083874195,1.29055864083595,122.086057342554,NaN,39.4082401588266
65,1.574452126075,NaN,NaN,NaN,433.035095223355,NaN
70,NaN,0.131211340741175,1.11257550750373,112.600110212945,NaN,53.2385765249362
80,1.84763242682469,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,628.054145157233,102.632178759516
90,NaN,0.161606812905401,0.937259035955918,106.038930337839,NaN,NaN
100,1.7436224075198,0.131793177433427,0.887006315392984,140.946192181883,780.41592315707,78.1966197820521
150,1.71066913483587,NaN,0.57015932172242,117.46054134902,1094.22924059323,179.924440636721
200,1.48705794193811,NaN,0.404159649260234,127.709263507918,1534.04386676505,214.609348906525
250,1.45510867521722,NaN,0.398747332028493,158.532813326263,1748.92013766926,227.980234881302
300,1.47231095621783,NaN,0.247109113942987,142.403790253424,1903.21166576086,287.466307695655
