t,Ins_Obs,Rec2_Obs,IR1_Obs,IR2_Obs,Uptake2_Obs
0,0.0359585813762698,1095.52259061256,0.0539805059599814,0.0754022274255443,-0.034111723173762
5,NaN,NaN,0.0205969995800108,NaN,NaN
6,-0.164235333402633,NaN,NaN,NaN,0.0350534494520341
6.5,NaN,1083.75256643435,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.0802037272947157,NaN
10,NaN,NaN,-0.0327388854755541,NaN,-0.0616375155898204
15,-0.0830275111758534,1160.0235798001,-0.1851498053125,0.0588876746021282,NaN
20,0.058989020010512,1395.32338193775,NaN,NaN,-0.112958728313745
25,NaN,NaN,0.0411092668894174,-0.0601718913220709,-0.0489718688314493
30,0.10188628836231,1207.40871197935,0.0547834440791538,NaN,NaN
35,0.00313471718537707,NaN,NaN,-0.0342076528640083,-0.0756374446101461
40,NaN,1162.96292146941,NaN,NaN,NaN
