t,Rec2_Obs,IR1_Obs,Uptake2_Obs
0,1115.75849016972,0.0895956390916072,3.16372336653569
6.5,NaN,0.641220060897901,NaN
9.5,NaN,NaN,17.5275995771505
10,1065.6430205044,NaN,NaN
15,NaN,0.602967253751379,NaN
20,1204.27622965802,0.590098168988077,23.8748341121157
30,1248.50914483252,0.539979951923486,21.4726730089911
35,NaN,0.521506765760449,NaN
40,1148.37064990586,NaN,25.4376949744965
45,NaN,0.545332168262481,NaN
55,1155.39516061632,0.55247850066485,26.2867468827207
65,NaN,0.447883195239027,29.3399645891657
70,1236.33107193448,NaN,NaN
80,NaN,0.431968368264281,NaN
85,1261.57667808397,NaN,35.0832861134162
95,NaN,0.495879401995369,NaN
100,1195.76608447418,0.438319037438477,36.4821365566266
150,1063.73774103598,0.389323238641027,34.71637096888
200,1197.39831711239,NaN,47.5255405262127
