t,Ins_Obs,Rec2_Obs,IR1_Obs,IR2_Obs,Uptake2_Obs
0,10.2307328871921,1107.69761822051,-0.0073487159127637,-0.0475501363988189,0.405356639379675
4,2.36418690414746,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,0.452561378172193,NaN
8,2.06153680481473,NaN,0.0727126305905468,NaN,NaN
9.5,NaN,1018.67603364004,NaN,NaN,NaN
10,2.17160999801918,NaN,NaN,NaN,1.91159952462188
15,2.33217593013393,NaN,0.0691189817619875,0.454181350180491,NaN
20,2.36255497428112,1053.82752124958,NaN,0.461977678745922,2.20954967961902
25,2.0150620198149,NaN,0.0608177999439108,0.453184297148879,NaN
30,NaN,1048.46001288057,NaN,NaN,2.49609087853142
35,2.21884620738625,NaN,0.0556594957017932,0.397087420020058,NaN
40,1.79946040442722,1107.26250617686,NaN,NaN,NaN
45,NaN,NaN,0.0536840044856284,0.34520910868915,2.68516268685004
50,2.12154383708726,1276.94683080314,NaN,NaN,NaN
55,NaN,NaN,0.0501671075491894,0.358984799079072,3.45813992016468
60,1.80057967039643,NaN,NaN,NaN,NaN
65,NaN,1228.18838928719,0.0451967759357288,0.413452394525599,NaN
70,NaN,NaN,NaN,NaN,3.17387828402501
75,NaN,1124.16076603449,NaN,0.383367454407489,NaN
80,NaN,NaN,0.0485217738210313,NaN,NaN
85,NaN,NaN,NaN,NaN,3.46568315001988
90,NaN,NaN,NaN,0.370770491856897,NaN
95,NaN,1179.9946729205,0.0473534109906799,NaN,NaN
100,NaN,1120.31138081837,0.0436315206173338,0.315683871663364,3.65707318915834
150,NaN,1199.2093761862,0.0376991336374506,0.204938524291048,3.66499435904216
200,NaN,1108.12289172536,0.0308306398349082,NaN,4.58756150383475
