t,Ins_Obs,IR2_Obs
0,0.989077779915703,-0.00136079258077055
4.5,0.229005647064657,NaN
7.5,NaN,0.0513027305704227
9,0.250151032501524,NaN
15,0.141458461487504,0.0513921517223277
20,0.193162355758499,NaN
25,0.185300411189964,0.0414004825368474
35,0.212639675877896,0.0434319422468827
40,NaN,0.0364579822219085
45,0.233179085662428,NaN
55,NaN,0.0425230149315706
60,0.205102693580621,NaN
65,NaN,0.0339784565960411
80,NaN,0.0414061245273116
95,NaN,0.0383910410490433
100,NaN,0.0311599807332836
150,NaN,0.0284573113862037
