t,Rec2_Obs,IR1_Obs,Uptake2_Obs
0,1257.54143320243,-0.279097199439089,-223.511770753315
4,NaN,17.8482105325125,NaN
8,450.402182211648,NaN,NaN
8.5,NaN,11.4822974398473,939.17437850782
15,416.097715596627,9.74194561625701,911.616153685928
20,NaN,10.1563581114852,NaN
25,331.199812664256,9.03136037202906,1199.46005405322
30,NaN,8.70958382400375,NaN
35,414.475319533206,8.3748273368543,1153.58278905384
45,426.388639934031,9.76126561819039,1159.4484566478
55,327.965426720407,8.35215135219363,NaN
60,NaN,NaN,1223.86582421835
65,NaN,9.39575101655793,NaN
70,354.308898885886,NaN,1319.8865938476
85,384.963799426184,NaN,NaN
90,NaN,NaN,1439.36798826256
100,344.697044458644,NaN,1496.07167035361
150,458.683006323551,NaN,1963.04939181572
200,478.608182607386,NaN,2439.05723868167
