t,Ins_Obs,IR2_Obs
0,0.100219525063399,0.000725336941317266
4.5,0.0202408644524362,NaN
7.5,NaN,0.00462166386204116
9.5,0.0257265012157518,NaN
15,0.0235590515051108,0.00494200355126271
20,0.0189895149732062,NaN
25,0.0135361257712688,0.00453608581745895
30,NaN,0.00493724936498788
35,0.019081189148688,NaN
40,0.0201739227696096,0.00366384723385499
50,0.0160143690079472,0.00411726631110836
65,0.0134216566634935,0.00453273066366767
75,NaN,0.00358807316856785
90,NaN,0.00352052133525097
100,NaN,0.00385312309665417
150,NaN,0.00289911337506861
