t,K27me0K36me0_Obs,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me3K36me2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00530560223966112,0.124197837443439,0.00571649874821672,0.0426846285471022,0.000995646172633689,0.081324132506929,0.195270803538489,0.823283951611173,0.559019408858879,0.21351817386449,0.699663949471389,0.657059358481663
0.25,0.000511910615277646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,-4.39224236350275e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,-2.08751333444547e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1.10630808337514e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,7.51674029737357e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-4.74515208233618e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,-5.16005897848853e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.644921590070527,0.656492330567998,NaN,NaN,NaN
3.5,NaN,0.0917724156612225,NaN,0.0394756873557659,NaN,NaN,0.161390000025276,NaN,NaN,0.217133668375237,NaN,NaN
4,NaN,NaN,0.00612910479579281,NaN,0.00145714084645306,0.0550999690905563,NaN,NaN,NaN,NaN,0.703479118062569,0.976233278554959
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812442773749767,NaN,NaN,NaN,NaN
6.5,NaN,0.0814149986221607,NaN,NaN,NaN,NaN,NaN,NaN,0.717183022886502,NaN,NaN,NaN
7,NaN,NaN,NaN,0.0606294199066985,NaN,NaN,0.113208240774597,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1985452381248,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.700735984623348,0.470519999233165
8.5,NaN,NaN,0.00646627506028218,NaN,0.000897626464839637,0.0574457335081061,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.733520225653132,NaN,NaN,NaN,NaN
10,NaN,0.0612464714416521,NaN,0.0547579722746302,NaN,NaN,0.10892192914813,0.623933133405496,0.798859656119324,0.166410793676973,0.71637250411024,0.850032774469321
15,NaN,0.0582382250866757,0.00674450170686195,0.0537481555929378,0.00142157081632736,0.0557775783144343,0.104195731993171,0.602109085304097,0.704314027957444,0.207484670357447,0.707037576378396,0.934610102909762
20,NaN,0.0264811760606321,0.00697643453457511,0.0667069594855674,0.00123202962557578,0.0578870440877317,0.0883989787138211,0.671817319412548,0.785295019456122,0.21066051588946,NaN,NaN
25,NaN,0.0317446644859591,0.00667948005016254,0.0479187802078771,0.00160077022231124,0.0654949303689288,0.0961766434564373,0.68258704064996,NaN,0.214154484142283,0.820258429923706,0.794880196121435
30,NaN,0.0202549848677041,0.00763926153039145,0.0452352377736015,0.00155823791936386,0.0633847952064125,NaN,0.617067535583769,0.699418052893649,0.137740127976915,0.723168164755913,0.896235999719446
35,NaN,0.0125305418490005,NaN,0.0485382556475502,NaN,NaN,0.0507232006504879,0.671962951252256,0.57223651678196,NaN,NaN,NaN
40,NaN,0.010306478051793,0.00734123227502421,NaN,0.00130647829220625,0.0671273510844655,0.0875020837421552,NaN,0.854714434449569,0.185763391832986,0.815447937548052,1.00388620498515
45,NaN,NaN,NaN,0.0343785619400233,NaN,NaN,NaN,0.650346712238655,NaN,NaN,NaN,NaN
50,NaN,0.00564887119292211,0.00851537554571121,0.0460006672598726,0.0012431599609495,0.0543911927301585,0.0792770908034489,0.674592773655116,0.820254300856817,0.160200226229871,0.676791925460257,1.01578845149651
60,NaN,0.0179147932852683,0.00829576245922198,0.0443172561918345,0.0014972978997874,0.0519543653083546,0.0845200559917667,0.653562195022708,0.626849106707238,0.170546849972646,0.646137594856751,0.913443085130891
