t,epo_level,Compound_9_Obs,Compound_14_Obs
73,2.5e-09,0.249167681358495,158.846155489635
73,2.5e-09,0.525952286788736,377.44060783922
73,2.5e-09,1.33786724111161,-116.982961643362
73,2.5e-08,1.11610049179655,961.479149783263
73,2.5e-08,1.57820887519426,1105.22088174867
73,2.5e-08,1.86632295977769,1085.88803653001
73,1.25e-07,4.065275515915,1760.8656090671
73,1.25e-07,4.0856441802424,1929.18418620493
73,1.25e-07,4.76101860456476,1233.95556388738
73,2.5e-07,5.03674457483036,2734.26428472927
73,2.5e-07,5.39298149233904,2367.99032465167
73,2.5e-07,5.50320660982499,2203.72275781512
73,2.5e-06,5.39051793995944,2319.57721841236
73,2.5e-06,5.68421781455129,1838.76911040786
73,2.5e-06,6.56066332049267,3176.04179624616
