t,epo_level,Compound_2_Obs,Compound_6_Obs
54,2.5e-09,-1.47965848397162,0.00866356022825863
54,2.5e-09,-0.561886068999216,-0.0061925617980406
54,2.5e-09,8.0368247536783,-0.00381757459335399
54,2.5e-08,19.1971734668394,0.0227987937305908
54,2.5e-08,26.5948267150726,-0.00112752425544422
54,2.5e-08,28.9983314521214,0.020127194372554
54,1.25e-07,43.6085012032951,0.0354824011388615
54,1.25e-07,54.6107994118609,0.0252715415820946
54,1.25e-07,60.9462331879957,0.0254623261938916
54,2.5e-07,45.4907816010094,0.0288524303074694
54,2.5e-07,47.4566507221711,0.0443697005790308
54,2.5e-07,51.539568880076,0.0407299219782076
54,1.25e-06,44.8389970201514,0.0590198794760688
54,1.25e-06,56.134451938462,0.0548035808065869
54,1.25e-06,62.4832447035949,0.0454671024281035
54,2.5e-06,52.7675649931705,0.0628005920157322
54,2.5e-06,53.821300765055,0.0558362265587518
54,2.5e-06,63.6829578213102,0.0620321446420695
