t,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_8_Obs,Compound_9_Obs,Compound_11_Obs,Compound_13_Obs,Compound_14_Obs
0,0.00783982305398772,-2.0869401758724,-0.000394660491036494,-0.00564916842251883,-0.0175072965760669,44.5977888904876,-4.63874099133905,-3.6302402088246
9.5,NaN,NaN,NaN,0.0651941519123066,NaN,NaN,NaN,NaN
10,NaN,0.842402429527005,0.0149593373731416,NaN,NaN,35.6981625849409,7.6599536793461,0.884670344233162
15,0.559743993791684,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.0253130929270396,0.09570535748246,0.0214310250436113,NaN,NaN,NaN
25,0.982542183440811,5.13689559986733,NaN,NaN,NaN,21.7472119597649,3.19149155053051,-0.448129942817693
30,NaN,NaN,NaN,0.0775637170355485,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0128406627883175,NaN,0.0526600896646821,40.88543099619,NaN,6.01341561357965
40,1.12327995996532,8.81463205287365,NaN,0.045655554510019,NaN,NaN,31.7017095551939,NaN
45,NaN,NaN,0.0113953666164613,NaN,NaN,NaN,NaN,15.8696440061072
50,NaN,NaN,NaN,NaN,NaN,49.1245629282531,NaN,NaN
55,1.08873001198713,29.2189054718243,NaN,0.0359665175580482,NaN,NaN,34.3378138148215,NaN
60,NaN,NaN,0.00869336798204251,NaN,0.0372700431499731,48.4444360481252,NaN,27.4855287252103
65,NaN,NaN,NaN,0.0227258510408481,NaN,NaN,NaN,NaN
70,NaN,34.2300275193397,NaN,NaN,NaN,NaN,51.2421443590143,NaN
75,1.10643439080518,NaN,0.00713884208685711,NaN,NaN,NaN,NaN,37.6088258734074
80,NaN,NaN,NaN,NaN,0.0627748381787615,54.2032433196666,NaN,NaN
85,NaN,42.4171107190353,NaN,0.0326108766501967,NaN,NaN,68.0352026181982,NaN
90,1.29722645591167,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,0.00544737658208433,NaN,NaN,62.6742624856361,NaN,32.4656616988915
100,1.02880159844891,30.9998643704885,0.00881099305111075,0.0111390816901637,0.072980928609932,83.2611124102879,70.3521238657236,44.7771730563235
150,0.953507694201022,31.9867699191033,0.00319055187386402,0.0200586821962183,0.207267825292355,78.0454174726183,68.9599266873674,33.9108750217238
200,0.833655019393777,33.6461680145219,NaN,NaN,0.25098767125311,63.2095254849543,73.0766554384157,32.3086410471481
250,0.808433835140766,33.0192887942393,NaN,NaN,0.27191880169742,85.6689030413693,59.017962607435,36.7593624758311
300,0.652656083190728,34.2261448069802,NaN,NaN,0.342833715493364,72.0227775666014,66.6098223164663,38.2355783610255
