t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs,Compound_14_Obs,Compound_15_Obs
0,7.1841154058805,-3.26967104137844,-178.915863836919,0.0141400441822551,-0.0043426796028361,0.000907548431257073,0.00791198639741027,-0.0262640444033245,0.0473334114332828,-0.0251301657365008,-47.8157161294855,89.2965463596169,-312.419156851561,-245.503462448883,-0.435100088052439
15,5.00836151086726,72.3897697555165,NaN,0.236880630095292,NaN,NaN,NaN,0.303857771510416,NaN,0.463466978027247,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132.085542120469,1333.33421514163,585.350883590236,NaN
25,NaN,69.7922810022015,NaN,NaN,NaN,0.0417002303734377,NaN,NaN,NaN,0.151120097209659,796.413580704474,NaN,NaN,NaN,NaN
30,NaN,NaN,1832.09546874953,0.176078046144912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.136065720055121
35,7.05130309798529,NaN,NaN,NaN,NaN,NaN,NaN,0.170844879577077,0.193663775095304,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,52.5274387519444,NaN,NaN,0.119634845618378,NaN,NaN,NaN,NaN,0.0661140062541603,NaN,873.043356250012,NaN,NaN,NaN
45,NaN,NaN,NaN,0.215108281583591,NaN,NaN,0.0621536267248055,NaN,NaN,NaN,NaN,NaN,3552.53209185707,2164.94613371106,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0238850129686538,NaN,0.155437358325713,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,4.90563661602548,50.3461871947879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0439916786750792,2201.46004593824,NaN,NaN,NaN,NaN
60,NaN,NaN,1966.27270220944,0.127511483037212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1648.9740676124,NaN,NaN,2.0812814785164
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03803921823289,NaN,NaN,NaN,NaN,2110.37721120362,NaN
70,NaN,40.1961866875364,NaN,NaN,NaN,NaN,NaN,0.229785886522201,NaN,0.0428077568084891,NaN,NaN,4340.43405975445,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0240194488246009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,6.31185592856459,NaN,NaN,0.149217518948781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1879.76192777547,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0946076989436967,NaN,NaN,NaN,NaN,NaN,2199.20516370952,NaN,NaN,NaN,NaN
90,NaN,33.4906424422032,1508.97004128061,NaN,NaN,NaN,NaN,0.179797727254102,NaN,0.0321333910807072,NaN,NaN,NaN,NaN,8.20435321557686
95,NaN,NaN,NaN,NaN,NaN,NaN,0.0747616944779855,NaN,NaN,NaN,NaN,NaN,NaN,1625.21625777213,NaN
100,3.73312922644196,36.8228781982888,NaN,0.155704746168551,NaN,0.0271150622650475,NaN,0.165585142722899,9.10483195534223,0.0319997186548691,1467.5616849047,2006.71117273027,2530.51973168351,1513.54694715185,7.58748661064921
150,6.65345599238977,28.6369533289582,1063.48987194751,0.151560013790511,0.0997721134240824,0.0196102088763157,0.0650489894628131,0.142696766245955,10.1752088006385,0.0236857698134255,784.304335817079,1228.04252001737,1946.59191556684,805.019570150989,11.2487100854908
200,NaN,4.76177968490777,481.610497834189,0.156962924099653,0.109815220277168,0.0280582257172866,0.0791246034502259,0.149804104504683,12.7172718810248,0.0470198950014347,858.704307235875,789.254826868153,1209.07104840033,470.682228649489,10.946229143981
250,NaN,4.03050948384115,NaN,NaN,0.0885551677319601,NaN,0.0743241961229711,0.12928602027126,10.0219621897731,NaN,639.017452620198,541.767417979326,NaN,647.207346102377,11.2226528158926
300,NaN,18.218834880002,574.137663290135,NaN,NaN,NaN,NaN,0.153616462778185,10.1223869606673,NaN,NaN,737.716495526699,NaN,627.189688135093,9.70355221735884
350,NaN,NaN,NaN,NaN,0.109922274819603,NaN,0.0608852743243983,NaN,8.19784642188021,NaN,NaN,595.716587123645,NaN,555.059672731462,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,0.0737049953140735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.87623285594886
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.26345129145772,NaN,NaN,NaN,NaN,NaN,8.30056239424801
500,NaN,NaN,NaN,NaN,NaN,NaN,0.0588977146941409,NaN,9.20167151170997,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,0.0682258543105319,NaN,10.133436942327,NaN,NaN,NaN,NaN,NaN,9.23763772933235
750,NaN,NaN,NaN,NaN,NaN,NaN,0.0676223239451618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
