t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_9_Obs,Compound_11_Obs,Compound_13_Obs,Compound_14_Obs
0,6.79767054163243,-2.4220503490543,-5.35212150775875,-0.000341202489591601,0.373249157766608,345.958514554597,-89.271707815684,-193.70241509491
6,6.20924576417007,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.0430920715043983,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,-31.0441317807457,NaN
8,NaN,50.2415353166296,NaN,NaN,NaN,392.434232426432,NaN,-41.6786354910522
8.5,NaN,NaN,55.8154574611913,NaN,0.00219389149803981,NaN,NaN,NaN
15,6.07817949561464,41.3399184720512,244.125151655903,0.0251079231952173,0.546356308778891,301.421125846349,542.867795781021,19.9952216892458
20,7.69834480059377,NaN,NaN,0.0217091138284849,NaN,NaN,NaN,NaN
25,5.74500335679988,39.5799557007282,689.500731082591,NaN,0.183166752419276,612.893998422196,1116.32360146408,667.295914823038
30,NaN,NaN,NaN,0.0169559613612507,NaN,NaN,1437.25067414546,NaN
35,6.44953544017635,34.3444581747035,993.185985971727,NaN,0.154908426547835,890.983242633417,NaN,1082.19228666566
40,NaN,NaN,NaN,0.0133891534668904,NaN,NaN,1859.21242369173,NaN
45,6.55929172931657,28.228653084882,957.343854278981,NaN,NaN,1225.5255974664,NaN,1216.19739085996
50,NaN,NaN,NaN,0.00918996734602142,0.722449509135081,NaN,1961.10765679771,NaN
55,8.2431918738467,34.2373799065833,NaN,NaN,NaN,1503.6613669087,NaN,1312.59213645757
60,NaN,NaN,1187.36261760416,0.00818059235115384,1.36606503147612,NaN,NaN,NaN
65,NaN,15.7319159746627,NaN,NaN,NaN,1355.1564748293,2409.08146794121,1270.24901459178
70,8.16352970182685,NaN,1194.20940717702,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,0.0116938462447863,3.07232549650764,NaN,2215.7290844055,NaN
80,NaN,17.8555983677729,NaN,NaN,NaN,1527.96008298432,NaN,976.771454970649
85,5.07036574594061,NaN,1264.799155679,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,1992.45810569042,NaN
95,NaN,NaN,NaN,0.0108437296460393,3.27903072375662,1109.81469722148,NaN,942.444180115742
100,6.97417198057974,20.1404925120717,909.488521662751,0.0101463926483364,3.63850627863714,1281.49706485392,1493.38064683476,731.675249347031
150,NaN,16.3284515617702,577.728770463227,NaN,5.90239632060224,707.172688461623,1051.56321548036,620.148234833351
200,NaN,NaN,326.909835651901,NaN,NaN,538.889773144449,718.07717736863,266.101955184681
