t,Compound_2_Obs,Compound_6_Obs
0,13.5936635764472,-0.0324938156492571
7,NaN,0.221589555681996
7.5,109.858033053442,NaN
15,87.7505513064244,0.169486618576028
20,NaN,0.123809274786744
25,79.2192462585129,NaN
30,84.0002393632784,0.104351742844897
40,65.8534605664956,0.0466275187814918
50,66.1233872477622,0.0375185083693702
60,57.5860473061607,0.0423395147609094
75,57.2573403887135,0.0450307898023443
90,41.9285186722275,NaN
95,NaN,0.0513823129020944
100,35.6187479823366,0.0505580651600974
150,26.1584756621874,NaN
200,26.1712293034074,NaN
